"year_mon","category_name","state_cost","bottles_sold","retail_revenue","liters_sold"
2012-05-01,"IMPORTED VODKA - MISC",370990.14,32027,559640.8,25086.83
2012-05-01,"AMERICAN COCKTAILS",464856.6,64490,701169.43,95059.44
2012-05-01,"FLAVORED GINS",6527.94,1101,9791.91,831.75
2012-05-01,"IRISH WHISKIES",126930.31,8000,190398.54,6979.18
2012-05-01,"WHITE CREME DE CACAO",2679.32,590,4022.92,442.5
2012-05-01,"APPLE SCHNAPPS",39246.82,5720,58853.77,5137.6
2012-05-01,"100 PROOF VODKA",86525.48,15445,129834.22,17656.25
2012-05-01,"ANISETTE",402.16,88,603.68,66
2012-05-01,"MISC. AMERICAN CORDIALS & LIQUEURS",163715.89,18849,245558.9,13638.5
2012-05-01,"MISCELLANEOUS SCHNAPPS",20909.17,2835,31357.08,2487.9
2012-05-01,"CREME DE ALMOND",554.18,121,832.48,90.75
2012-06-01,"MISCELLANEOUS  BRANDIES",2377.47,171,3566.73,89.85
2012-06-01,"ANISETTE",255.92,56,384.16,42
2012-06-01,"VODKA FLAVORED",516159.42,70317,780813.74,58263.96
2012-06-01,"FLAVORED GINS",7245.2,1228,10867.8,921
2012-06-01,"MISC. AMERICAN CORDIALS & LIQUEURS",251804.07,27605,377962.12,20163.68
2012-06-01,"AMERICAN COCKTAILS",544966.53,74674,824190.31,112562.8
2012-06-01,"DARK CREME DE CACAO",2622.54,575,3938.19,431.25
2012-06-01,"JAMAICA RUM",15198.91,1459,22807.44,1251.25
2012-06-01,"AMERICAN AMARETTO",34179.58,8275,51279.34,7631
