"year_mon","type","category","state_cost","retail_revenue","bottles_sold","liters_sold"
2016-04-01,"gin","american sloe gins",3057.6,4586.4,500,466.5
2016-04-01,"liqueur","anisette",175.5,263.25,39,29.25
2016-04-01,"schnapps","apple schnapps",15986.18,23988.1,2091,2015.66
2016-04-01,"brandy","apricot brandies",12573.61,18864.84,2161,1807.2
2016-04-01,"rum","barbados rum",3014.28,4521.67,281,210.75
2016-04-01,"brandy","blackberry brandies",36018.71,54042.45,5990,5340.37
2016-04-01,"whiskey","blended whiskies",396017.16,594109.03,65046,61317.97
2016-04-01,"whiskey","bottled in bond bourbon",1242.67,1864.67,133,111.75
2016-04-01,"schnapps","butterscotch schnapps",15859.87,23797.11,2347,2040.75
2016-04-01,"whiskey","canadian whiskies",1522519.98,2288964.1,169217,163211.98
2016-04-01,"brandy","cherry brandies",5185.9,7778.85,950,712.5
2016-04-01,"schnapps","cinnamon schnapps",12719.71,19084.65,1649,1460
2016-04-01,"liqueur","coffee liqueurs",64950.11,97483.61,5680,4825.9
2016-04-01,"whiskey","corn whiskies",6708,10062,7,193.5
2016-04-01,"liqueur","cream liqueurs",197409.4,296504.88,16115,14116.66
2016-04-01,"liqueur","creme de almond",495,742.5,110,82.5
2016-04-01,"liqueur","dark creme de cacao",1657.75,2488.37,349,261.75
2016-04-01,"other","decanters & specialty packages",27896.84,41901.57,2903,948
2016-04-01,"other","distilled spirits specialty",91348.47,137058.42,15705,15016.02
2016-04-01,"gin","flavored gins",5946.08,8923.6,896,672
2016-04-01,"rum","flavored rum",307947.44,462036,35080,30644.6
2016-04-01,"schnapps","grape schnapps",11939.71,17916.23,1563,1505.5
2016-04-01,"liqueur","green creme de menthe",1611.75,2418.81,345,258.75
2016-04-01,"gin","imported dry gins",220929.83,331412.82,14032,13430.36
2016-04-01,"brandy","imported grape brandies",378261.24,567488.18,33193,13911.45
2016-04-01,"schnapps","imported schnapps",231121.15,346722.23,19878,18433.94
2016-04-01,"vodka","imported vodka",803700.25,1205748.79,60308,59169.75
2016-04-01,"vodka","imported vodka - misc",334878.78,502421.08,29031,21174.93
2016-04-01,"whiskey","irish whiskies",203652.8,305522.36,11201,9643.03
2016-04-01,"rum","jamaica rum",12751.24,19126.86,1070,951.75
2016-04-01,"whiskey","japanese whisky",7376.15,11064.92,151,113.25
2016-04-01,"liqueur","misc. american cordials & liqueurs",28763.18,43346.37,4153,3068.35
2016-04-01,"liqueur","misc. imported cordials & liqueurs",385462.6,578601.44,28440,21623.68
2016-04-01,"brandy","miscellaneous  brandies",8674.92,13014.03,1442,792.55
2016-04-01,"schnapps","miscellaneous schnapps",24870.25,37319.72,5105,2765.3
2016-04-01,"vodka","other proof vodka",2411.6,3619.01,322,396.5
2016-04-01,"brandy","peach brandies",14061,21095.2,3599,1663.82
2016-04-01,"schnapps","peach schnapps",56214.48,84344.05,8161,7522.41
2016-04-01,"schnapps","peppermint schnapps",104316.79,156661.61,16964,14423.89
2016-04-01,"rum","puerto rico & virgin islands rum",381408.5,572146.23,52339,56412.19
2016-04-01,"schnapps","raspberry schnapps",5159.95,7740.45,910,796
2016-04-01,"cocktail","rock & rye",497.93,747.4,101,75.75
2016-04-01,"schnapps","root beer schnapps",6753.1,10130.95,1087,1080.25
2016-04-01,"whiskey","scotch whiskies",246494.66,370017.89,17005,19371.6
2016-04-01,"whiskey","single barrel bourbon whiskies",18476.47,27830.19,898,651
2016-04-01,"whiskey","single malt scotch",128906.3,193365.64,4385,3396.2
2016-04-01,"schnapps","spearmint schnapps",1670,2505,334,334
2016-04-01,"rum","spiced rum",1060334.67,1590864.66,106181,105061.01
2016-04-01,"whiskey","straight bourbon whiskies",698462.72,1049809.28,62884,57578.32
2016-04-01,"whiskey","straight rye whiskies",127774.47,191692.11,7345,5495.25
2016-04-01,"schnapps","strawberry schnapps",5184.7,7779.53,945,708.75
2016-04-01,"whiskey","tennessee whiskies",1180151.08,1770390.26,72246,64382.74
2016-04-01,"tequila","tequila",1006408.66,1510134.91,87975,71280.86
2016-04-01,"other","triple sec",46173.57,69283.45,16348,15101.32
2016-04-01,"schnapps","tropical fruit schnapps",3099.1,4650.52,622,564.25
2016-04-01,"vodka","vodka 80 proof",1814529.45,2724988.01,332969,308559.41
2016-04-01,"vodka","vodka flavored",443653.72,667383.08,67784,50410.61
2016-04-01,"schnapps","watermelon schnapps",16012.66,24027.23,2131,2010.25
2016-04-01,"whiskey","whiskey liqueur",766612.51,1150492.05,96925,68233.72
2016-04-01,"liqueur","white creme de cacao",1820.25,2731.77,389,291.75
2016-04-01,"unknown",NA,15288.49,22936.48,1685,1040.67
2016-05-01,"vodka","100 proof vodka",11075.52,16613.4,1107,884.1
2016-05-01,"liqueur","amaretto - imported",2614.92,3922.8,84,63
2016-05-01,"other","american alcohol",23821.79,35734.54,2717,2028.75
2016-05-01,"liqueur","american amaretto",29758.01,44656.07,6980,6530.5
2016-05-01,"cocktail","american cocktails",325130.29,488585.88,45028,70531.2
2016-05-01,"gin","american dry gins",195265.33,293190.3,38137,31613.34
2016-05-01,"brandy","american grape brandies",183763.8,275703.13,46132,21776.11
2016-05-01,"gin","american sloe gins",2295.28,3442.92,422,398.75
2016-05-01,"liqueur","anisette",72,108,16,12
2016-05-01,"schnapps","apple schnapps",19911.39,29877.85,2624,2505.14
2016-05-01,"brandy","apricot brandies",15295.53,22948.14,2606,2222.6
2016-05-01,"rum","barbados rum",5961.98,8943.68,519,389.25
2016-05-01,"brandy","blackberry brandies",40699.97,61064.67,6722,6082.26
2016-05-01,"whiskey","blended whiskies",454114.64,681265.71,73389,69090.65
2016-05-01,"whiskey","bottled in bond bourbon",1726.56,2589.84,198,148.5
2016-05-01,"schnapps","butterscotch schnapps",18436.18,27662.18,2756,2380.25
2016-05-01,"whiskey","canadian whiskies",2349664.23,3554217.38,252669,279593.15
2016-05-01,"brandy","cherry brandies",6455.2,9682.8,1160,900
2016-05-01,"schnapps","cinnamon schnapps",14260.51,21414.7,1815,1671.25
2016-05-01,"liqueur","coffee liqueurs",79906.44,120169.25,7122,5964.73
2016-05-01,"whiskey","corn whiskies",70128.75,105212.7,3915,2936.25
2016-05-01,"liqueur","cream liqueurs",245232.33,368583.96,19842,17019.01
2016-05-01,"liqueur","creme de almond",351,526.5,78,58.5
2016-05-01,"liqueur","dark creme de cacao",1795.5,2695.14,378,283.5
2016-05-01,"other","decanters & specialty packages",54400.73,81628.35,5655,4664.3
